"","Year","Age group","Count"
"1",1990,"Over 70 years",20399
"2",1990,"50 to 69 years",206148
"3",1990,"15 to 49 years",1169847
"4",1990,"5 to 14 years",14380
"5",1990,"Under 5 years",371472
"6",1991,"Over 70 years",26573
"7",1991,"50 to 69 years",265170
"8",1991,"15 to 49 years",1507786
"9",1991,"5 to 14 years",19461
"10",1991,"Under 5 years",459127
"11",1992,"Over 70 years",33797
"12",1992,"50 to 69 years",334139
"13",1992,"15 to 49 years",1901048
"14",1992,"5 to 14 years",26079
"15",1992,"Under 5 years",553263
"16",1993,"Over 70 years",41998
"17",1993,"50 to 69 years",414419
"18",1993,"15 to 49 years",2355302
"19",1993,"5 to 14 years",35140
"20",1993,"Under 5 years",651461
"21",1994,"Over 70 years",51362
"22",1994,"50 to 69 years",505039
"23",1994,"15 to 49 years",2857896
"24",1994,"5 to 14 years",46940
"25",1994,"Under 5 years",747455
"26",1995,"Over 70 years",61170
"27",1995,"50 to 69 years",596589
"28",1995,"15 to 49 years",3371592
"29",1995,"5 to 14 years",60284
"30",1995,"Under 5 years",839116
"31",1996,"Over 70 years",71366
"32",1996,"50 to 69 years",676115
"33",1996,"15 to 49 years",3803423
"34",1996,"5 to 14 years",75037
"35",1996,"Under 5 years",919408
"36",1997,"Over 70 years",80974
"37",1997,"50 to 69 years",749956
"38",1997,"15 to 49 years",4187407
"39",1997,"5 to 14 years",90767
"40",1997,"Under 5 years",987651
"41",1998,"Over 70 years",91117
"42",1998,"50 to 69 years",839965
"43",1998,"15 to 49 years",4680675
"44",1998,"5 to 14 years",108703
"45",1998,"Under 5 years",1054021
"46",1999,"Over 70 years",100983
"47",1999,"50 to 69 years",936715
"48",1999,"15 to 49 years",5239269
"49",1999,"5 to 14 years",127790
"50",1999,"Under 5 years",1104989
"51",2000,"Over 70 years",109762
"52",2000,"50 to 69 years",1025702
"53",2000,"15 to 49 years",5741129
"54",2000,"5 to 14 years",147937
"55",2000,"Under 5 years",1134491
"56",2001,"Over 70 years",117076
"57",2001,"50 to 69 years",1124110
"58",2001,"15 to 49 years",6163738
"59",2001,"5 to 14 years",167609
"60",2001,"Under 5 years",1151870
"61",2002,"Over 70 years",123121
"62",2002,"50 to 69 years",1207543
"63",2002,"15 to 49 years",6523551
"64",2002,"5 to 14 years",185484
"65",2002,"Under 5 years",1155006
"66",2003,"Over 70 years",127448
"67",2003,"50 to 69 years",1282659
"68",2003,"15 to 49 years",6792834
"69",2003,"5 to 14 years",202830
"70",2003,"Under 5 years",1144351
"71",2004,"Over 70 years",129791
"72",2004,"50 to 69 years",1336117
"73",2004,"15 to 49 years",6952485
"74",2004,"5 to 14 years",218404
"75",2004,"Under 5 years",1122664
"76",2005,"Over 70 years",129059
"77",2005,"50 to 69 years",1356338
"78",2005,"15 to 49 years",6936100
"79",2005,"5 to 14 years",227750
"80",2005,"Under 5 years",1078375
"81",2006,"Over 70 years",123253
"82",2006,"50 to 69 years",1328567
"83",2006,"15 to 49 years",6724814
"84",2006,"5 to 14 years",231456
"85",2006,"Under 5 years",1003264
"86",2007,"Over 70 years",114948
"87",2007,"50 to 69 years",1269606
"88",2007,"15 to 49 years",6369479
"89",2007,"5 to 14 years",232463
"90",2007,"Under 5 years",920172
"91",2008,"Over 70 years",106380
"92",2008,"50 to 69 years",1201869
"93",2008,"15 to 49 years",5955451
"94",2008,"5 to 14 years",231282
"95",2008,"Under 5 years",839046
"96",2009,"Over 70 years",98725
"97",2009,"50 to 69 years",1135661
"98",2009,"15 to 49 years",5549470
"99",2009,"5 to 14 years",227763
"100",2009,"Under 5 years",754694
"101",2010,"Over 70 years",93177
"102",2010,"50 to 69 years",1088003
"103",2010,"15 to 49 years",5207854
"104",2010,"5 to 14 years",221788
"105",2010,"Under 5 years",674672
"106",2011,"Over 70 years",88819
"107",2011,"50 to 69 years",1051633
"108",2011,"15 to 49 years",4891462
"109",2011,"5 to 14 years",214752
"110",2011,"Under 5 years",598664
"111",2012,"Over 70 years",84318
"112",2012,"50 to 69 years",1017182
"113",2012,"15 to 49 years",4538815
"114",2012,"5 to 14 years",210646
"115",2012,"Under 5 years",531459
"116",2013,"Over 70 years",81847
"117",2013,"50 to 69 years",999575
"118",2013,"15 to 49 years",4232480
"119",2013,"5 to 14 years",205004
"120",2013,"Under 5 years",475573
"121",2014,"Over 70 years",83403
"122",2014,"50 to 69 years",1000132
"123",2014,"15 to 49 years",4002875
"124",2014,"5 to 14 years",196315
"125",2014,"Under 5 years",429295
"126",2015,"Over 70 years",86775
"127",2015,"50 to 69 years",1009564
"128",2015,"15 to 49 years",3824054
"129",2015,"5 to 14 years",187019
"130",2015,"Under 5 years",381310
"131",2016,"Over 70 years",90336
"132",2016,"50 to 69 years",1020535
"133",2016,"15 to 49 years",3697013
"134",2016,"5 to 14 years",175962
"135",2016,"Under 5 years",338368
"136",2017,"Over 70 years",92176
"137",2017,"50 to 69 years",1012782
"138",2017,"15 to 49 years",3492983
"139",2017,"5 to 14 years",162614
"140",2017,"Under 5 years",304283
"141",2018,"Over 70 years",91999
"142",2018,"50 to 69 years",991614
"143",2018,"15 to 49 years",3266541
"144",2018,"5 to 14 years",149208
"145",2018,"Under 5 years",272066
"146",2019,"Over 70 years",92785
"147",2019,"50 to 69 years",983318
"148",2019,"15 to 49 years",3144497
"149",2019,"5 to 14 years",142528
"150",2019,"Under 5 years",250750
